5GuysBot;I'm dumb
Anonymous;The sky is blue
Jimmy;You fucked up
Luke;I have ebola
;Luke Well, Your face holds your brain in
Billy;Your air conduit is much closer to your microphone
Billy;I'm forcing my dick down your throat
Luke;Maybe kids bop is fire
Scott;"!quote Scott"
Sam;It's like looking at a baby's butt. In full motion.
Luke;Oh I'll fill you all right
Hayden;"That depends, are the children white?"
hayden;Its ok daddy, I know you like it
luke;that wasn't even good
hayden;<:Kappapride:322987497325985793>
sam;"you need to rest your butt against the desk so you don't slide off dude"
sam;"smooth as a baby's bottom covered in butter"
sam;We are here, we're queer, and we're ready to eat some rear
Sam;I wish I could have this man meat in my mouth right now
Sam;You're gonna fuck my ass one day
hayden;"Billy's a pussy magnet"
hayden;"Billy, you are the real mvp"
sam;"no i do not have a penis"
Luke,;Oh, my penis is so erect
Braad;" 😭  "
braad;"Shitposter 9000 sucks dicksmasters9000"
Hayden;"it's true, i am a furry"
Hayden;"when does man meat open?"
Hayden;"I'm queer!"
Reb;First I kill, then I fap
Billy;Ow! Get your fucking claw out of my ass!
Sam;"Are you literally talking shit?"
Sam;“did u guys know I gay”
Billy;Penises on females, whatever
billy;Oh no my asshole, my stinky sweaty asshole!
Derek;"are you an orc? cuz ur simply glowing tonight"
scott;"uwo, titan of natuwe's waff!"
Hayden;"It's ok daddy, I know you like it"
Sam;"if you guys purchase yeezy's for me i will eat them"
luke;“I love chicken nuggets. They’re like timbits but meaty”
Luke;"Fuck me Jerry, Fuck ME!"
Hayden;i def can't deny telling a girl having a seizure to go fuck herself
sam;"you're so cute billy"
Scott;"with a silent N, like Rwanda"
Luke;"I'm gunna be putting the delicious rod..."
Sam;"Slobberin' time?
Derek;"Guys... I have a whole hot dog in my mouth!"
luke;"3 inches on me"
Sam;“I love fucking with children!”
sam;I can smell the children in the air, I'm lactating
sam;"He's in me"
Luke;“pardon my racism, but those clouds are black enough to steal my bike”
Reb;Honestly, 9-11 is not that bad
Sam;MMM, that's some good wood
karoth;MMM, that's some good wood
Billy;He's got brown syndrome
hayden;"9/11 wasn't that bad"
mark;"gunna make me cum"
reb;"if you're weak enough to be kept up by a fuckin monster then just drink the fuckin monster"
reb;"i'm literally drinking a monster"
reb;"let's go nazi"
Jimmy;I’m pretty sure you can put a raccoon and that bottle in Billy’s ass
Luke;Why did you come Celia?
"you;can't be certain i have a dick"
hayden;"you can't be certaijn i have a dick"
sam;"i have a vagina"
hayden;"cuz i'm an idiot dude"
luke;"i just don't like them because they're just black"
reb;"yeah, just kill yourself dude"
Sam;I'm a Eunuch
Billy;Hey man, I can watch porn whenever I want
luke;you just punch a whole in it and put your thing in it
luke;im going to pet it let it be touched by a person , and let it finish the seed in my hand
luke;i let it finish it's seed in my hand again
reb;“im a smelly poopy head”
luke;"hasbro can lick my fuckin' taint dude"
luke;"i need to save up my money so that way i can get the ceo of uh hasbro to lick my taint dude"
jimmy;"I'm dumb <3"
hayden;"show me your toes"
Sam;I kiss guys
sam;"why is black always bad?"
Sam;I just poured it in my mouth and then grabbed the cheese curds
hayden;i actually have a sore ass
hayden;i was rollderblading
sam;"Touch me with your frosty fingers"
sam;"ride me!"
sam;"you wanna mount me dude?"
Jimmy;Why is it so big? Are the all that big?
reb;"i only date lolis"
sam;"wanna get fucked by a dude in a tower?"
sam;"ride me"
sam;"don't hate us cuz it's a furry anus"
Reb;This meat is so good. Oh my god
Billy;Hayden is Jewbacca
billy;hayden is jew-baka
Sam;Suck the children
sam;"i said suck... the children... the life force... epstein's private island... drinking the energy"sam;"so chef, here's my penis on a silver platter"
Reb;Honestly, aids
Reb;I'm gonna gargle them
reb;"monkey balls in my mouth"
sam;"i like your balls"
Sam;I'm fine with guys jerkin it to me
reb;hey pat, i like your balls
luke;"i've always wanted to be a pirate but i've never wanted to live in somalia"
Billy;If you need light, then go out and buy a light
Billy;Sorry, I've just been intentionally ignoring you
hayden;how much cum's in this?
Hayden;How much cums in this?
hayden;oh i want your balls alright
sam;i'm just fuckin retarded dude!
luke;"as a holy man i can tell when someone's inside of me"
hayden;"gaping chasm"
sam;"you're a woman, i can punch you whenever"
Billy;I'm twerking for you Hayden
Sam;Seeing the sadness in a child's eyes is the best feeling in the world. Especially when you caused it.
Sam;We just have to make him suffer by watching us
Sam;That's the thing, you get to suck their ass
hayden;"i was trying to take their magic pole"
hayden;"the bees, they never stopped cumming"
hayden;"yes master"
hayden;"yes master 𝓮𝓻𝓸𝓽𝓲𝓬𝓪𝓵𝓵𝔂"
Billy;I will move towards the horny boy
hayden;"because i used to suck dicks in the gloryholes for extra cash"
sam;"my ass is stretched and ready to be penetrated"
luke;that's some good fuckin sausage dude
luke;i suppose that makes me stupid
sam;yeah, he can touch my wet sack full of balls
billy;my bathroom bush
Luke;Fucking butt pirates.
hayden;what does naggers mean?... oh
neilybobber;yeah, let's fuck some kids
hayden;pounds
Billy;t5feri wasn't even format breaking
Hayden;meatspin
billy;yummy yummy in my tummy
